Country	Index
French Guiana	174
Western Sahara	175
Botswana	181
Central African Republic	193
Namibia	200
Zimbabwe	200
Guyana	207
Mongolia	208
Niger	208
Djibouti	210
Zambia	210
Gabon	211
Suriname	211
Kazakhstan	215
Mali	215
Svalbard	215
Chad	217
Congo	219
Falkland Islands	223
Mozambique	225
Angola	227
Cameroon	229
Burkina Faso	229
Qatar	229
Mauritania	233
Kyrgyzstan	234
Antarctica	235
Australia	238
Belarus	239
Equatorial Guinea	243
Greenland	243
Laos	243
Swaziland	243
South Georgia and the South Sandwich Islands	245
Panama	247
Armenia	247
Bahamas	248
Cote d'Ivoire	248
Turkmenistan	249
Malawi	249
Oman	250
Bolivia	250
Canada	251
Papua New Guinea	251
Bhutan	253
Eritrea	254
Guinea	254
Libya	256
Andorra	257
Tanzania	257
Belize	258
Uruguay	259
Ethiopia	260
Paraguay	260
Georgia	261
Kenya	262
Finland	265
São Tomé and Príncipe	265
Somalia	265
Peru	268
Cambodia	270
Latvia	270
Myanmar	270
Bouvet Island	271
Guinea-Bissau	271
Liberia	271
Tajikistan	271
Nicaragua	272
Honduras	273
Norway	273
Russia	273
Saudi Arabia	274
Sudan	274
Algeria	275
Comoros	277
Gambia	277
Senegal	277
Benin	278
Ghana	279
Madagascar	279
Saint Helena	279
Lesotho	280
Estonia	280
Morocco	281
Solomon Islands	281
Cape Verde	282
Sierra Leone	283
Uganda	283
Cocos (Keeling) Islands	285
Vanuatu	285
Uzbekistan	286
Argentina	287
Chile	287
Burundi	288
Democratic Republic of the Congo	288
Afghanistan	289
Yemen	289
New Caledonia	290
Aruba	291
Venezuela	291
New Zealand	292
Turks and Caicos Islands	292
Togo	293
United Arab Emirates	293
Vatican City	293
Heard Island and McDonald Islands	294
British Indian Ocean Territory	295
Colombia	296
Faroe Islands	296
Saint Pierre and Miquelon	296
Egypt	298
Iceland	298
Rwanda	298
Jan Mayen	300
United States	300
Slovakia	303
Ecuador	304
Mayotte	304
Pitcairn	304
Wallis and Futuna	304
Nepal	305
San Marino	305
Bosnia & Herzegovina	306
Mexico	306
Tunisia	306
Antigua & Barbuda	307
Thailand	308
Hong Kong	309
Niue	309
Jordan	310
Sweden	311
Anguilla	312
Malaysia	312
Brunei	313
Iran	313
Cyprus	314
Lithuania	314
Czech Republic	315
Grenada	315
Malta	316
Indonesia	316
Macedonia	316
Ukraine	317
Ireland	318
Moldova	322
Bulgaria	323
Kuwait	323
Netherlands Antilles	323
Dominican Republic	324
South Africa	324
Taiwan	324
Bahrain	326
Luxembourg	327
Gibraltar	328
Samoa	328
Tokelau	328
Cuba	329
Albania	330
Sri Lanka	331
Monaco	332
Fiji	333
Puerto Rico	334
Portugal	335
Romania	335
Nigeria	336
Saint Vincent and the Grenadines	337
Guatemala	338
Palau	338
Bangladesh	340
Réunion	341
Montserrat	342
Cayman Islands	343
Croatia	343
Haiti	343
Iraq	344
Denmark	345
Liechtenstein	346
El Salvador	348
Marshall Islands	348
Switzerland	348
Christmas Island	350
Syria	350
Spain	352
Greece	353
Turkey	353
Azerbaijan	354
Costa Rica	354
Poland	354
Seychelles	355
Germany	357
Vietnam	357
Mauritius	358
Saint Kitts and Nevis	359
China	360
France	361
Slovenia	362
Hungary	363
North Korea	363
Martinique	364
Tuvalu	367
Pakistan	368
Norfolk Island	368
Austria	369
Bermuda	373
South Korea	373
Brazil	373
United Kingdom	373
British Virgin Islands	377
Northern Mariana Islands	378
Israel	380
French Polynesia	381
Jamaica	381
Trinidad and Tobago	381
Cook Islands	383
Maldives	383
India	385
Italy	386
Belgium	387
Lebanon	387
Netherlands	388
Japan	389
Guam	390
Micronesia	392
Tonga	392
Saint Lucia	393
Kiribati	395
United States Virgin Islands	396
Philippines	402
Barbados	403
Macau	407
Guadeloupe	412
Nauru	421
Singapore	428
American Samoa	436