Country	Population	Christian	Muslim	Irreligion	Hindu	Buddhist	Folk religion	Other religion	Jewish
Angola	19,080,000	17,267,400	100.000	973,08	0	0	801,36	0	0
Cameroon	19,600,000	13,778,800	7,692.300	1,038,800	0	0	646,8	529,2	0
Central African Republic	4,400,000	3,938,000	862.000	44	0	0	44	0	0
Chad	11,230,000	4,559,380	9,200.000	280,75	0	0	157,22	11,23	0
Congo, Democratic Republic of the	65,970,000	63,199,260	12,492.000	1,187,460	30	0	461,79	65,97	0
Congo, Republic of the	4,040,000	3,470,360	108.000	363,6	0	0	113,12	44,44	0
Equatorial Guinea	700	620,9	80.000	35	0	0	11,9	3,5	0
Gabon	1,510,000	1,155,150	169,12	84,56	0	0	90,6	10,57	0
São Tomé and Príncipe	170	139,74	6	21,42	0	0	4,93	4,08	0
Central Africa	126,700,000	108,128,990	11,444,300	4,028,670	30	0	2,331,720	668,99	0
Sub-Saharan Africa	822,714,000	517,410,250	248,172,500	26,513,072	1,570,690	111,96	26,749,540	1,815,728	61,91
Burundi	8,380,000	7,667,700	1,184.452	0	0	0	477,66	0	0
Comoros	730,62	5	725,62	0	0	0	0	0	0
Djibouti	890	20,47	862	1,78	0	0	2,67	0	1,78
Eritrea	5,250,000	1,053,254	3,100,000	5,25	0	0	21	0	0
Ethiopia	82,950,000	52,092,600	35,600,000	50	0	0	2,156,700	0	25
Kenya	40,510,000	34,352,480	3,929,470	1,012,750	40,51	0	688,67	486,12	0
Madagascar	20,710,000	17,665,630	621,3	1,428,990	10	0	931,95	20	0
Malawi	14,900,000	12,322,300	1,937,000	372,5	0	0	253,3	0	0
Mauritius	1,300,000	328,9	217,1	7,8	733,2	0	9,1	3,9	0
Mayotte	200	1,4	197,2	400	0	0	1	0	0
Mozambique	23,390,000	13,262,130	4,210,200	4,186,810	0	0	1,730,860	0	0
Réunion	850	744,6	35,7	17	38,25	1,7	3,4	9,35	0
Rwanda	10,620,000	9,919,080	576,04	382,32	0	0	106,2	21,24	0
Seychelles	90	84,6	1,038	1,89	1,89	0	0	540	0
Somalia	9,330,000	100	9,311,340	0	0	0	0	0	0
South Sudan	9,950,000	6,019,750	2,464,692	49,75	0	0	3,273,550	0	0
Tanzania	44,840,000	27,531,760	15,783,680	627,76	44,84	0	807,12	30	0
Uganda	33,420,000	28,975,140	3,843,300	167,1	100,26	0	300,78	33,42	0
Zambia	13,090,000	12,775,840	170	65,45	13,09	0	39,27	117,81	0
Zimbabwe	12,570,000	10,935,900	120	993,03	0	0	477,66	37,71	10
Eastern Africa	333,970,000	238,006,180	73,510,760	9,371,310	982,04	1,7	11,288,190	760,09	11,78
Sub-Saharan Africa	822,714,000	517,410,250	248,172,500	26,513,072	1,570,690	111,96	26,749,540	1,815,728	61,91
Algeria	43,851,044	400	43,000,000	0	0	0	10	0	140
Egypt	81,120,000	9,486,120	76,982,880	0	0	0	0	0	1
Libya	6,360,000	171,72	6,143,760	12,72	0	19,08	0	0	0
Morocco	31,950,000	20	31,918,050	0	0	0	0	3,2	2,2
Sudan	33,600,000	1,814,400	30,475,200	336	0	0	940,8	0	0
Tunisia	10,480,000	20,96	10,427,600	20,96	0	0	0	0	1,1
North Africa	199,510,000	6,236,200	191,199,440	1,010,260	0	19,08	950,8	0	0
Middle East and North Africa	341,020,000	12,752,770	317,058,950	2,036,990	1,700,260	492,13	1,047,990	220,71	5,617,080
Botswana	2,010,000	1,449,210	8,04	414,06	6,03	0	120,6	12,06	0
Eswatini	1,190,000	1,048,390	2,4	120,19	1,19	0	11,9	4,76	0
Lesotho	2,170,000	2,100,560	3	67,27	0	0	2,17	0	0
Namibia	2,280,000	2,223,000	6,84	43,32	0	0	4,56	0	0
South Africa	50,130,000	40,705,560	1,200,000	613,624	753,524	100,26	200,52	150,39	50,13
Southern Africa	57,780,000	47,526,720	869,47	8,114,210	558,65	100,26	339,75	167,21	50,13
Sub-Saharan Africa	822,714,000	517,410,250	248,172,500	26,513,072	1,570,690	111,96	26,749,540	1,815,728	61,91
Western Africa	304,264,000	123,748,360	162,347,970	5,034,372	0	10	12,789,880	219,438	0
Sub-Saharan Africa	822,714,000	517,410,250	248,172,500	26,513,072	1,570,690	111,96	26,749,540	1,815,728	61,91
Anguilla	20	18,12	60	800	80	0	580	320	20
Antigua and Barbuda	90	83,7	540	1,53	180	0	3,24	900	0
Aruba	110	101,09	300	6,6	0	110	1,43	110	440
Bahamas	340	326,4	340	10,54	0	0	1,02	1,02	0
Barbados	270	257,04	2,7	5,13	1,08	0	0	3,78	0
Cayman Islands	60	50,1	240	5,64	540	0	2,7	360	450
Cuba	11,260,000	6,665,920	11,116	2,589,800	22,52	0	1,959,240	0	0
Dominica	70	66,08	70	350	0	70	2,1	1,19	0
Dominican Republic	9,930,000	8,738,400	2	1,082,370	0	0	89,37	9,93	0
Grenada	100	96,6	300	1	700	0	1,3	200	0
Guadeloupe	460	441,14	1,84	11,5	2,3	0	1,84	1,84	0
Haiti	9,990,000	8,681,310	5	1,058,940	0	0	219,78	29,97	0
Jamaica	2,740,000	2,115,280	5,624	471,28	0	0	123,3	27,4	0
Martinique	410	395,65	820	9,43	820	0	820	2,46	0
Montserrat	5	4,675	100	240	5	0	10	75	0
Netherlands Antilles	200	187,8	400	6,6	400	1	2,4	600	600
Puerto Rico	3,750,000	3,626,250	1	71,25	0	11,25	30	3,75	0
Saint Kitts and Nevis	50	47,3	150	800	750	0	650	400	0
Saint Lucia	170	154,87	170	10,2	510	0	850	3,4	0
Saint Vincent and the Grenadines	110	97,57	1,65	2,75	3,74	0	2,2	2,2	0
Trinidad and Tobago	1,340,000	883,06	80	25,46	304,18	4,02	25,46	18,76	0
Turks and Caicos Islands	40	36,84	40	1,84	0	0	1,08	240	0
British Virgin Islands	20	16,9	240	780	240	0	1,68	160	0
U.S. Virgin Islands	110	104,28	110	4,07	440	0	0	660	330
Belize	310	271,56	310	27,59	620	1,55	4,65	310	3,1
Costa Rica	4,660,000	4,235,940	1,5	368,14	0	0	37,28	13,98	0
El Salvador	6,190,000	5,459,580	2	680,9	0	0	30,95	18,57	0
Guatemala	14,390,000	13,699,280	1,2	589,99	0	0	86,34	10	0
Honduras	7,600,000	6,657,600	7,6	798	0	7,6	83,6	45,6	0
Nicaragua	5,790,000	4,967,820	1	723,75	0	0	81,06	5,79	0
Panama	3,520,000	3,273,600	25	168,96	0	7,04	14,08	14,08	14,08
Bermuda	60	45	660	11,64	0	300	1,8	480	180
Canada	37,000,000	24,473,800	1,150,000	8,062,740	476,28	272,16	408,24	306,18	340,2
Greenland	60	57,66	80	0	0	0	480	360	0
Saint Pierre and Miquelon	6	5,682	12	228	0	0	0	78	0
United States	330,000,000	275,827,540	3,450,000	50,902,320	1,862,280	3,724,560	620,76	1,862,280	5,586,840
Mexico	128,645,200	107,862,420	111	5,330,740	0	107	70	20	70
Argentina	40,410,000	34,429,320	404,1	4,930,020	0	20	323,28	121,23	202,05
Bolivia	9,930,000	9,324,270	2000	407,13	0	0	89,37	99,3	0
Brazil	194,950,000	183,310,550	1,500,000	15,401,050	0	194,95	5,458,600	389,9	110
Chile	17,110,000	15,296,340	4000	1,471,460	0	10	256,65	34,22	17,11
Colombia	50,290,000	41,500,000	100	5,500,140	50.000	50.000	500,32	1.000,00	50.000
Ecuador	14,460,000	13,606,860	<1000	795,3	0	0	43,38	0	0
Falkland Islands	3	2,016	12	945	0	6	0	24	0
French Guiana	230	194,12	2,4	7,82	3,68	0	20,93	1,15	0
Guyana	850	495	55	15	236,75	0	1,5	4,5	0
Paraguay	6,450,000	6,250,050	1000	70,95	0	0	109,65	12,9	0
Peru	29,080,000	26,753,600	<1000	1,890,200	<1000	58,16	290,8	87,24	0
Suriname	520	268,32	80	28,08	102,96	3,12	27,56	9,36	1,04
Uruguay	3,370,000	1,951,230	1000	1,371,590	0	0	26,96	10,11	10,11
Venezuela	28,980,000	25,879,140	128	2,898,000	0	0	57,96	20	0
Mainland China	1,341,340,000	68,408,340	24,144,120	700,179,480	20	244,123,880	293,753,460	9,389,380	0
Hong Kong	7,050,000	1,008,150	126,9	3,955,050	28,2	930,6	902,4	105,75	0
Macau	540	38,88	1,08	83,16	0	93,42	318,06	5,4	0
Taiwan	23,220,000	1,277,100	10	2,948,940	0	4,945,860	10,263,240	3,761,640	0
Japan	126,540,000	2,024,640	253,08	72,127,800	30	45,807,480	506,16	5,947,380	0
North Korea	24,350,000	487	0	17,361,550	0	365,25	2,995,050	3,141,150	0
South Korea	48,180,000	14,164,920	96,36	22,355,520	0	11,033,220	385,44	96,36	0
Mongolia	2,760,000	63,48	88,32	990,84	0	1,520,760	96,6	0	0
Brunei	400	37,6	300,4	1,6	1,2	34,4	24,8	400	0
Cambodia	14,140,000	56,56	282,8	28,28	0	13,701,660	84,84	0	0
Indonesia	239,870,000	23,747,130	209,166,640	240	4,077,790	1,679,090	719,61	239,87	0
Laos	6,200,000	93	0	55,8	0	4,092,000	1,903,400	43,4	0
Malaysia	28,400,000	2,669,600	18,090,800	198,8	1,704,000	5,026,800	653,2	56,8	0
Myanmar	47,960,000	3,740,880	1,918,400	239,8	815,32	38,415,960	2,781,680	95,92	0
Philippines	105,000,000	89,000,000	5,127,000	7,350,000	10	1,758,000	1,398,900	93,26	28,473
Singapore	5,090,000	926,38	727,87	834,76	264,68	1,725,510	117,07	493,73	0
Thailand	69,120,000	622,08	3,801,600	207,36	69,12	64,419,840	60	0	0
Timor-Leste	1,120,000	1,115,520	1,12	0	0	0	1,12	0	0
Vietnam	94,700,000	7,765,400	175,7	28,031,200	151,2	15,530,800	42,899,100	351,4	0
Afghanistan	31,410,000	31,41	31,315,770	0	10	0	0	20	1
Bangladesh	165,870,000	297,38	149,000,000	80	13,530,790	743,45	594,76	30	0
Bhutan	730	3,65	1,46	0	164,98	545,31	13,87	0	0
India	1,224,610,000	30,615,250	189,000,000	870	973,564,950	9,796,880	6,123,050	28,166,030	10
Maldives	320	1,28	314,88	0	960	1,92	0	0	0
Nepal	29,960,000	149,8	1,378,160	89,88	24,177,720	3,085,880	1,108,520	20	0
Pakistan	211,100,000	2,777,440	204,194,370	20	3,298,210	20	30	20	0
Sri Lanka	20,860,000	1,522,780	2,044,280	0	2,836,960	14,455,980	0	0	0
Kazakhstan	16,030,000	3,975,440	11,285,120	673,26	0	32,06	48,09	16,03	0
Kyrgyzstan	5,330,000	607,62	4,690,400	21,32	0	0	5,33	0	0
Tajikistan	6,880,000	110,08	6,652,960	103,2	0	0	0	0	0
Turkmenistan	5,040,000	322,56	4,687,200	25,2	0	0	0	0	0
Uzbekistan	27,440,000	631,12	26,534,480	219,52	0	10	10	0	10
Bahrain	1,260,000	182,7	885,78	23,94	123,48	31,5	0	2,52	7,56
Iraq	31,670,000	253,36	31,353,300	31,67	0	0	0	20	0
Israel	7,420,000	148,4	1,380,120	230,02	0	22,26	14,84	7,42	5,609,520
Jordan	6,190,000	136,18	6,016,680	0	6,19	24,76	0	0	0
Kuwait	2,740,000	391,82	2,030,340	0	232,9	76,72	0	8,22	0
Lebanon	4,230,000	2,170,090	2,592,990	12,69	0	8,46	0	0	0
Oman	2,780,000	180,7	2,388,020	5,56	152,9	22,24	0	27,8	0
Palestine	4,040,000	96,96	3,943,040	0	0	0	0	0	0
Qatar	1,760,000	242,88	1,191,520	15,84	242,88	54,56	0	12,32	0
Saudi Arabia	27,450,000	1,207,800	25,528,500	192,15	301,95	82,35	82,35	82,35	0
Syria	20,410,000	1,061,320	18,940,480	408,2	0	0	0	0	0
United Arab Emirates	7,510,000	946,26	5,775,190	82,61	495,66	150,2	0	60,08	0
Yemen	24,050,000	48,1	23,833,550	24,05	144,3	0	0	0	0
Armenia	3,090,000	3,043,650	0	40,17	0	0	0	3,09	0
Azerbaijan	9,190,000	275,7	8,905,110	0	0	0	0	0	0
Cyprus	1,100,000	805,2	278,3	13,2	0	2,2	0	0	0
Iran	73,970,000	390	73,600,150	73,97	20	0	0	147,94	90
Turkey	72,750,000	291	71,295,000	873	0	40	20	145,5	20
Austria	8,390,000	6,745,560	453,06	1,132,650	0	16,78	0	8,39	16,78
Croatia	4,400,000	4,109,600	61,6	224,4	0	0	0	0	0
Czech Republic	10,490,000	2,444,170	0	8,014,360	0	0	0	0	0
Germany	82,300,000	56,540,100	4,773,400	20,328,100	0	246,9	0	82,3	246,9
Hungary	9,980,000	8,083,800	0	1,856,280	0	0	0	0	9,98
Liechtenstein	40	36,76	2	1,16	0	0	0	0	40
Poland	38,280,000	36,098,040	0	2,143,680	0	0	0	0	0
Romania	21,490,000	21,382,550	64,47	21,49	0	0	0	0	0
Slovakia	5,460,000	4,657,380	10,92	780,78	0	0	0	0	0
Slovenia	2,030,000	1,591,520	73,08	365,4	0	0	0	0	0
Switzerland	7,660,000	6,227,580	421,3	911,54	30,64	30,64	0	7,66	22,98
Belarus	9,600,000	6,835,200	19,2	2,745,600	0	0	0	0	0
Georgia	4,350,000	3,849,750	465,45	30,45	0	0	0	0	0
Russia	142,960,000	104,789,680	14,296,000	23,159,520	0	142,96	285,92	0	285,92
Ukraine	45,450,000	38,087,100	545,4	6,681,150	0	0	0	0	45,45
Denmark	5,550,000	4,634,250	227,55	654,9	22,2	11,1	0	0	0
Faroe Islands	50	49	0	850	0	0	0	150	0
Estonia	1,340,000	534,66	2,68	798,64	0	0	10	0	1 340
Finland	5,360,000	4,373,760	42,88	943,36	0	0	0	0	0
Iceland	320	304	640	11,2	960	1,28	1,6	640	0
Latvia	2,250,000	1,255,500	2,5	985,5	0	0	0	4,5	0
Lithuania	3,320,000	2,981,360	5	332	0	0	0	0	0
Norway	4,880,000	4,133,360	180,56	492,88	24,4	29,28	0	9,76	0
Sweden	9,380,000	7,303,360	431,48	2,532,600	18,76	37,52	18,76	18,76	9,38
Albania	3,200,000	576	2,569,600	44,8	0	0	0	6,4	0
Bosnia and Herzegovina	3,760,000	1,966,480	1,699,520	94	0	0	0	0	0
Bulgaria	7,490,000	6,149,290	1,026,130	314,58	0	0	0	0	0
Greece	11,360,000	10,008,160	602,08	692,96	11,36	0	11,36	0	0
Kosovo	2,080,000	237,12	1,809,600	33,28	0	0	0	0	0
Moldova	3,570,000	3,477,180	21,42	49,98	0	0	0	0	21,42
Montenegro	630	492,03	117,81	20,16	0	0	0	0	0
North Macedonia	2,060,000	1,221,580	809,58	28,84	0	0	0	0	0
Serbia	7,770,000	7,187,250	326,34	256,41	0	0	0	0	0
Andorra	80	71,6	640	7,04	400	0	0	80	240
Gibraltar	30	26,64	1,2	870	540	0	0	90	630
Italy	60,550,000	50,438,150	2,240,350	7,508,200	60,55	121,1	60,55	60	50
Malta	420	407,4	840	10,5	840	0	0	0	0
Portugal	10,680,000	10,017,840	64,08	469,92	10,68	64,08	53,4	0	0
San Marino	30	27,48	0	2,16	0	0	0	270	90
Spain	46,080,000	36,218,880	967,68	8,755,200	20	0	20	10	46,08
Vatican City	800	800	0	0	0	0	0	0	0
Belgium	10,710,000	6,875,820	631,89	3,105,900	0	21,42	21,42	0	32,13
France	62,790,000	50,557,700	4,709,250	17,581,200	30	313,95	188,37	125,58	313,95
Ireland	4,470,000	4,112,400	49,17	277,14	8,94	8,94	8,94	0	0
Isle of Man	80	67,28	160	12,32	160	0	0	0	0
Luxembourg	510	359,04	11,73	136,68	0	0	0	1,53	510
Monaco	40	34,4	160	4,68	0	0	0	80	680
Netherlands	16,610,000	8,404,660	996,6	6,992,810	85,905	34,362	34,362	34,362	34,362
United Kingdom	62,040,000	44,110,440	2,729,760	13,214,520	806,52	248,16	186,12	496,32	310,2
Australia	22,800,000	15,000,000	650	5,389,340	311,78	601,29	155,89	178,16	111,35
New Zealand	4,370,000	2,490,900	60	1,600,000	91,77	69,92	21,85	30,59	8,74
Fiji	860	553,84	58,4	6,88	239,941	0	0	4,3	0
New Caledonia	250	213	7	26	0	1,5	500	2	0
Papua New Guinea	6,860,000	6,805,120	2	0	0	0	27,44	13,72	0
Solomon Islands	540	525,96	200	1,08	0	1,62	7,02	3,78	0
Vanuatu	240	223,92	1	2,88	0	0	9,84	3,36	0
Guam	180	169,56	300	3,06	0	1,98	2,7	2,88	0
Kiribati	100	97	500	800	0	0	0	2,2	0
Marshall Islands	50	48,75	180	750	0	0	100	400	0
Micronesia	110	104,83	208	990	0	440	2,97	770	0
Nauru	10	7,9	20	450	0	110	810	740	0
Northern Mariana Islands	60	48,78	420	600	0	6,36	3,18	660	0
Palau	20	17,34	240	240	0	160	160	2,08	0
American Samoa	70	68,86	50	490	0	210	280	210	0
Cook Islands	20	19,2	0	640	0	0	0	160	0
French Polynesia	270	253,8	688	13,23	0	0	1,35	1,08	0
Niue	2	1,928	50	66	0	0	0	4	0
Samoa	180	174,24	300	4,5	0	0	0	720	0
Tokelau	1,4	1,397	0	0	0	0	0	3	0
Tonga	100	99	120	0	100	0	0	900	0
Tuvalu	11	10,8	200	0	0	0	0	0	0
Wallis and Futuna	13	12,662	0	78	0	0	156	104	0